+------------+-----------------------+------------------------+--------------------+-------------------------------------------------+
| STATUS     | CVE SEVERITY          | PACKAGE NAME           | PACKAGE VERSION    | CVE DESCRIPTION                                 |
|            |                       |                        |                    | details about the security issue(s), including  |
|            |                       |                        |                    | the impact, a CVSS score, acknowledgments,      |
|            |                       |                        |                    | and other related information, refer to         |
|            |                       |                        |                    | the CVE page(s) listed in the References        |
|            |                       |                        |                    | section. Additional Changes: For detailed       |
|            |                       |                        |                    | information on changes in this release, see     |
|            |                       |                        |                    | the Red Hat Enterprise Linux 8.5 Release        |
|            |                       |                        |                    | Notes linked from the References section.       |
|            |                       |                        |                    | https://access.redhat.com/errata/RHSA-2021:4426 |
+------------+-----------------------+------------------------+--------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | Medium RHSA-2021:4358 | glibc-minimal-langpack | 2.28-151.el8       | The glibc packages provide the standard C       |
|            |                       |                        |                    | libraries (libc), POSIX thread libraries        |
|            |                       |                        |                    | (libpthread), standard math libraries           |
|            |                       |                        |                    | (libm), and the name service cache daemon       |
|            |                       |                        |                    | (nscd) used by multiple programs on the         |
|            |                       |                        |                    | system. Without these libraries, the Linux      |
|            |                       |                        |                    | system cannot function correctly. Security      |
|            |                       |                        |                    | Fix(es): * glibc: Arbitrary read in wordexp()   |
|            |                       |                        |                    | (CVE-2021-35942) * glibc: Use-after-free in     |
|            |                       |                        |                    | addgetnetgrentX function in netgroupcache.c     |
|            |                       |                        |                    | (CVE-2021-27645) * glibc: mq_notify does        |
|            |                       |                        |                    | not handle separately allocated thread          |
|            |                       |                        |                    | attributes (CVE-2021-33574) For more details    |
|            |                       |                        |                    | about the security issue(s), including          |
|            |                       |                        |                    | the impact, a CVSS score, acknowledgments,      |
|            |                       |                        |                    | and other related information, refer to         |
|            |                       |                        |                    | the CVE page(s) listed in the References        |
|            |                       |                        |                    | section. Additional Changes: For detailed       |
|            |                       |                        |                    | information on changes in this release, see     |
|            |                       |                        |                    | the Red Hat Enterprise Linux 8.5 Release        |
|            |                       |                        |                    | Notes linked from the References section.       |
|            |                       |                        |                    | https://access.redhat.com/errata/RHSA-2021:4358 |
+------------+-----------------------+------------------------+--------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | Medium RHSA-2022:0896 | glibc-minimal-langpack | 2.28-151.el8       | The glibc packages provide the standard C       |
|            |                       |                        |                    | libraries (libc), POSIX thread libraries        |
|            |                       |                        |                    | (libpthread), standard math libraries (libm),   |
|            |                       |                        |                    | and the name service cache daemon (nscd) used   |
|            |                       |                        |                    | by multiple programs on the system. Without     |
|            |                       |                        |                    | these libraries, the Linux system cannot        |
|            |                       |                        |                    | function correctly. Security Fix(es): *         |
|            |                       |                        |                    | glibc: Off-by-one buffer overflow/underflow in  |
|            |                       |                        |                    | getcwd() (CVE-2021-3999) * glibc: Stack-based   |
|            |                       |                        |                    | buffer overflow in svcunix_create via long      |
|            |                       |                        |                    | pathnames (CVE-2022-23218) * glibc: Stack-based |
|            |                       |                        |                    | buffer overflow in sunrpc clnt_create via a     |
|            |                       |                        |                    | long pathname (CVE-2022-23219) For more details |
|            |                       |                        |                    | about the security issue(s), including the      |
|            |                       |                        |                    | impact, a CVSS score, acknowledgments, and      |
|            |                       |                        |                    | other related information, refer to the CVE     |
|            |                       |                        |                    | page(s) listed in the References section.       |
|            |                       |                        |                    | https://access.redhat.com/errata/RHSA-2022:0896 |
+------------+-----------------------+------------------------+--------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | Medium RHSA-2022:0368 | rpm-build-libs         | 4.14.3-13.el8      | The RPM Package Manager (RPM) is a command-line |
|            |                       |                        |                    | driven package management system capable        |
|            |                       |                        |                    | of installing, uninstalling, verifying,         |
|            |                       |                        |                    | querying, and updating software packages.       |
|            |                       |                        |                    | Security Fix(es): * rpm: RPM does not           |
|            |                       |                        |                    | require subkeys to have a valid binding         |
|            |                       |                        |                    | signature (CVE-2021-3521) For more details      |
|            |                       |                        |                    | about the security issue(s), including the      |
|            |                       |                        |                    | impact, a CVSS score, acknowledgments, and      |
|            |                       |                        |                    | other related information, refer to the CVE     |
|            |                       |                        |                    | page(s) listed in the References section.       |
|            |                       |                        |                    | https://access.redhat.com/errata/RHSA-2022:0368 |
+------------+-----------------------+------------------------+--------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | Medium RHSA-2021:4511 | libcurl-minimal        | 7.61.1-18.el8      | The curl packages provide the libcurl library   |
|            |                       |                        |                    | and the curl utility for downloading files      |
|            |                       |                        |                    | from servers using various protocols, including |
|            |                       |                        |                    | HTTP, FTP, and LDAP. Security Fix(es): *        |
|            |                       |                        |                    | curl: Leak of authentication credentials in     |
|            |                       |                        |                    | URL via automatic Referer (CVE-2021-22876)      |
|            |                       |                        |                    | * curl: TELNET stack contents disclosure        |
|            |                       |                        |                    | (CVE-2021-22898) * curl: Incorrect fix          |
|            |                       |                        |                    | for CVE-2021-22898 TELNET stack contents        |
|            |                       |                        |                    | disclosure (CVE-2021-22925) For more details    |
|            |                       |                        |                    | about the security issue(s), including          |
|            |                       |                        |                    | the impact, a CVSS score, acknowledgments,      |
|            |                       |                        |                    | and other related information, refer to         |
|            |                       |                        |                    | the CVE page(s) listed in the References        |
|            |                       |                        |                    | section. Additional Changes: For detailed       |
|            |                       |                        |                    | information on changes in this release, see     |
|            |                       |                        |                    | the Red Hat Enterprise Linux 8.5 Release        |
|            |                       |                        |                    | Notes linked from the References section.       |
|            |                       |                        |                    | https://access.redhat.com/errata/RHSA-2021:4511 |
+------------+-----------------------+------------------------+--------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | Medium RHSA-2022:0368 | rpm                    | 4.14.3-13.el8      | The RPM Package Manager (RPM) is a command-line |
|            |                       |                        |                    | driven package management system capable        |
|            |                       |                        |                    | of installing, uninstalling, verifying,         |
|            |                       |                        |                    | querying, and updating software packages.       |
|            |                       |                        |                    | Security Fix(es): * rpm: RPM does not           |
|            |                       |                        |                    | require subkeys to have a valid binding         |
|            |                       |                        |                    | signature (CVE-2021-3521) For more details      |
|            |                       |                        |                    | about the security issue(s), including the      |
|            |                       |                        |                    | impact, a CVSS score, acknowledgments, and      |
|            |                       |                        |                    | other related information, refer to the CVE     |
|            |                       |                        |                    | page(s) listed in the References section.       |
|            |                       |                        |                    | https://access.redhat.com/errata/RHSA-2022:0368 |
+------------+-----------------------+------------------------+--------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | Medium RHSA-2021:4409 | libgcrypt              | 1.8.5-4.el8        | The libgcrypt library provides general-purpose  |
|            |                       |                        |                    | implementations of various cryptographic        |
|            |                       |                        |                    | algorithms. Security Fix(es): * libgcrypt:      |
|            |                       |                        |                    | mishandles ElGamal encryption because           |
|            |                       |                        |                    | it lacks exponent blinding to address           |
|            |                       |                        |                    | a side-channel attack against mpi_powm          |
|            |                       |                        |                    | (CVE-2021-33560) For more details about         |
|            |                       |                        |                    | the security issue(s), including the            |
|            |                       |                        |                    | impact, a CVSS score, acknowledgments,          |
|            |                       |                        |                    | and other related information, refer to         |
|            |                       |                        |                    | the CVE page(s) listed in the References        |
|            |                       |                        |                    | section. Additional Changes: For detailed       |
|            |                       |                        |                    | information on changes in this release, see     |
|            |                       |                        |                    | the Red Hat Enterprise Linux 8.5 Release        |
|            |                       |                        |                    | Notes linked from the References section.       |
|            |                       |                        |                    | https://access.redhat.com/errata/RHSA-2021:4409 |
+------------+-----------------------+------------------------+--------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | Medium RHSA-2021:2575 | lz4-libs               | 1.8.3-2.el8        | The lz4 packages provide support for LZ4, a     |
|            |                       |                        |                    | very fast, lossless compression algorithm that  |
|            |                       |                        |                    | provides compression speeds of 400 MB/s per     |
|            |                       |                        |                    | core and scales with multicore CPUs. It also    |
|            |                       |                        |                    | features an extremely fast decoder that reaches |
|            |                       |                        |                    | speeds of multiple GB/s per core and typically  |
|            |                       |                        |                    | reaches RAM speed limits on multicore systems.  |
|            |                       |                        |                    | Security Fix(es): * lz4: memory corruption due  |
|            |                       |                        |                    | to an integer overflow bug caused by memmove    |
|            |                       |                        |                    | argument (CVE-2021-3520) For more details       |
|            |                       |                        |                    | about the security issue(s), including the      |
|            |                       |                        |                    | impact, a CVSS score, acknowledgments, and      |
|            |                       |                        |                    | other related information, refer to the CVE     |
|            |                       |                        |                    | page(s) listed in the References section.       |
|            |                       |                        |                    | https://access.redhat.com/errata/RHSA-2021:2575 |
+------------+-----------------------+------------------------+--------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | Medium RHSA-2022:0899 | libxml2                | 2.9.7-9.el8        | The libxml2 library is a development toolbox    |
|            |                       |                        |                    | providing the implementation of various         |
|            |                       |                        |                    | XML standards. Security Fix(es): * libxml2:     |
|            |                       |                        |                    | Use-after-free of ID and IDREF attributes       |
|            |                       |                        |                    | (CVE-2022-23308) For more details about the     |
|            |                       |                        |                    | security issue(s), including the impact,        |
|            |                       |                        |                    | a CVSS score, acknowledgments, and other        |
|            |                       |                        |                    | related information, refer to the CVE           |
|            |                       |                        |                    | page(s) listed in the References section.       |
|            |                       |                        |                    | https://access.redhat.com/errata/RHSA-2022:0899 |
+------------+-----------------------+------------------------+--------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | Medium RHSA-2021:2569 | libxml2                | 2.9.7-9.el8        | The libxml2 library is a development toolbox    |
|            |                       |                        |                    | providing the implementation of various         |
|            |                       |                        |                    | XML standards. Security Fix(es): * libxml2:     |
|            |                       |                        |                    | Use-after-free in xmlEncodeEntitiesInternal()   |
|            |                       |                        |                    | in entities.c (CVE-2021-3516) *                 |
|            |                       |                        |                    | libxml2: Heap-based buffer overflow in          |
|            |                       |                        |                    | xmlEncodeEntitiesInternal() in entities.c       |
|            |                       |                        |                    | (CVE-2021-3517) * libxml2: Use-after-free       |
|            |                       |                        |                    | in xmlXIncludeDoProcess() in xinclude.c         |
|            |                       |                        |                    | (CVE-2021-3518) * libxml2: NULL pointer         |
|            |                       |                        |                    | dereference when post-validating mixed content  |
|            |                       |                        |                    | parsed in recovery mode (CVE-2021-3537)         |
|            |                       |                        |                    | * libxml2: Exponential entity expansion         |
|            |                       |                        |                    | attack bypasses all existing protection         |
|            |                       |                        |                    | mechanisms (CVE-2021-3541) For more details     |
|            |                       |                        |                    | about the security issue(s), including the      |
|            |                       |                        |                    | impact, a CVSS score, acknowledgments, and      |
|            |                       |                        |                    | other related information, refer to the CVE     |
|            |                       |                        |                    | page(s) listed in the References section.       |
|            |                       |                        |                    | https://access.redhat.com/errata/RHSA-2021:2569 |
+------------+-----------------------+------------------------+--------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | Medium RHSA-2021:4057 | platform-python        | 3.6.8-37.el8       | Python is an interpreted, interactive,          |
|            |                       |                        |                    | object-oriented programming language, which     |
|            |                       |                        |                    | includes modules, classes, exceptions,          |
|            |                       |                        |                    | very high level dynamic data types and          |
|            |                       |                        |                    | dynamic typing. Python supports interfaces      |
|            |                       |                        |                    | to many system calls and libraries, as          |
|            |                       |                        |                    | well as to various windowing systems.           |
|            |                       |                        |                    | Security Fix(es): * python: urllib: Regular     |
|            |                       |                        |                    | expression DoS in AbstractBasicAuthHandler      |
|            |                       |                        |                    | (CVE-2021-3733) For more details about the      |
|            |                       |                        |                    | security issue(s), including the impact,        |
|            |                       |                        |                    | a CVSS score, acknowledgments, and other        |
|            |                       |                        |                    | related information, refer to the CVE           |
|            |                       |                        |                    | page(s) listed in the References section.       |
|            |                       |                        |                    | https://access.redhat.com/errata/RHSA-2021:4057 |
+------------+-----------------------+------------------------+--------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | Medium RHSA-2021:4399 | platform-python        | 3.6.8-37.el8       | Python is an interpreted, interactive,          |
|            |                       |                        |                    | object-oriented programming language, which     |
|            |                       |                        |                    | includes modules, classes, exceptions, very     |
|            |                       |                        |                    | high level dynamic data types and dynamic       |
|            |                       |                        |                    | typing. Python supports interfaces to many      |
|            |                       |                        |                    | system calls and libraries, as well as          |
|            |                       |                        |                    | to various windowing systems.  Security         |
|            |                       |                        |                    | Fix(es): * python: Information disclosure       |
|            |                       |                        |                    | via pydoc (CVE-2021-3426) For more details      |
|            |                       |                        |                    | about the security issue(s), including          |
|            |                       |                        |                    | the impact, a CVSS score, acknowledgments,      |
|            |                       |                        |                    | and other related information, refer to         |
|            |                       |                        |                    | the CVE page(s) listed in the References        |
|            |                       |                        |                    | section. Additional Changes: For detailed       |
|            |                       |                        |                    | information on changes in this release, see     |
|            |                       |                        |                    | the Red Hat Enterprise Linux 8.5 Release        |
|            |                       |                        |                    | Notes linked from the References section.       |
|            |                       |                        |                    | https://access.redhat.com/errata/RHSA-2021:4399 |
+------------+-----------------------+------------------------+--------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | Medium RHSA-2021:4426 | ncurses-libs           | 6.1-7.20180224.el8 | The ncurses (new curses) library routines       |
|            |                       |                        |                    | are a terminal-independent method of updating   |
|            |                       |                        |                    | character screens with reasonable optimization. |
|            |                       |                        |                    | The ncurses packages contain support utilities  |
|            |                       |                        |                    | including a terminfo compiler tic, a decompiler |
|            |                       |                        |                    | infocmp, clear, tput, tset, and a termcap       |
|            |                       |                        |                    | conversion tool captoinfo. Security Fix(es):    |
|            |                       |                        |                    | * ncurses: heap-based buffer overflow in the    |
|            |                       |                        |                    | _nc_find_entry function in tinfo/comp_hash.c    |
|            |                       |                        |                    | (CVE-2019-17594) * ncurses: heap-based          |
|            |                       |                        |                    | buffer overflow in the fmt_entry function in    |
|            |                       |                        |                    | tinfo/comp_hash.c (CVE-2019-17595) For more     |
|            |                       |                        |                    | details about the security issue(s), including  |
|            |                       |                        |                    | the impact, a CVSS score, acknowledgments,      |
|            |                       |                        |                    | and other related information, refer to         |
|            |                       |                        |                    | the CVE page(s) listed in the References        |
|            |                       |                        |                    | section. Additional Changes: For detailed       |
|            |                       |                        |                    | information on changes in this release, see     |
|            |                       |                        |                    | the Red Hat Enterprise Linux 8.5 Release        |
|            |                       |                        |                    | Notes linked from the References section.       |
|            |                       |                        |                    | https://access.redhat.com/errata/RHSA-2021:4426 |
+------------+-----------------------+------------------------+--------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | Medium RHSA-2021:4464 | yum                    | 4.4.2-11.el8       | dnf is a package manager that allows users to   |
|            |                       |                        |                    | manage packages on their systems. It supports   |
|            |                       |                        |                    | RPMs, modules and comps groups & environments.  |
|            |                       |                        |                    | Security Fix(es): * libdnf: Signature           |
|            |                       |                        |                    | verification bypass via signature placed in     |
|            |                       |                        |                    | the main RPM header (CVE-2021-3445) For more    |
|            |                       |                        |                    | details about the security issue(s), including  |
|            |                       |                        |                    | the impact, a CVSS score, acknowledgments,      |
|            |                       |                        |                    | and other related information, refer to         |
|            |                       |                        |                    | the CVE page(s) listed in the References        |
|            |                       |                        |                    | section. Additional Changes: For detailed       |
|            |                       |                        |                    | information on changes in this release, see     |
|            |                       |                        |                    | the Red Hat Enterprise Linux 8.5 Release        |
|            |                       |                        |                    | Notes linked from the References section.       |
|            |                       |                        |                    | https://access.redhat.com/errata/RHSA-2021:4464 |
+------------+-----------------------+------------------------+--------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | Medium RHSA-2021:4399 | python3-libs           | 3.6.8-37.el8       | Python is an interpreted, interactive,          |
|            |                       |                        |                    | object-oriented programming language, which     |
|            |                       |                        |                    | includes modules, classes, exceptions, very     |
|            |                       |                        |                    | high level dynamic data types and dynamic       |
|            |                       |                        |                    | typing. Python supports interfaces to many      |
|            |                       |                        |                    | system calls and libraries, as well as          |
|            |                       |                        |                    | to various windowing systems.  Security         |
|            |                       |                        |                    | Fix(es): * python: Information disclosure       |
|            |                       |                        |                    | via pydoc (CVE-2021-3426) For more details      |
|            |                       |                        |                    | about the security issue(s), including          |
|            |                       |                        |                    | the impact, a CVSS score, acknowledgments,      |
|            |                       |                        |                    | and other related information, refer to         |
|            |                       |                        |                    | the CVE page(s) listed in the References        |
|            |                       |                        |                    | section. Additional Changes: For detailed       |
|            |                       |                        |                    | information on changes in this release, see     |
|            |                       |                        |                    | the Red Hat Enterprise Linux 8.5 Release        |
|            |                       |                        |                    | Notes linked from the References section.       |
|            |                       |                        |                    | https://access.redhat.com/errata/RHSA-2021:4399 |
+------------+-----------------------+------------------------+--------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | Medium RHSA-2021:4464 | libdnf                 | 0.55.0-7.el8       | dnf is a package manager that allows users to   |
|            |                       |                        |                    | manage packages on their systems. It supports   |
|            |                       |                        |                    | RPMs, modules and comps groups & environments.  |
|            |                       |                        |                    | Security Fix(es): * libdnf: Signature           |
|            |                       |                        |                    | verification bypass via signature placed in     |
|            |                       |                        |                    | the main RPM header (CVE-2021-3445) For more    |
|            |                       |                        |                    | details about the security issue(s), including  |
|            |                       |                        |                    | the impact, a CVSS score, acknowledgments,      |
|            |                       |                        |                    | and other related information, refer to         |
|            |                       |                        |                    | the CVE page(s) listed in the References        |
|            |                       |                        |                    | section. Additional Changes: For detailed       |
|            |                       |                        |                    | information on changes in this release, see     |
|            |                       |                        |                    | the Red Hat Enterprise Linux 8.5 Release        |
|            |                       |                        |                    | Notes linked from the References section.       |
|            |                       |                        |                    | https://access.redhat.com/errata/RHSA-2021:4464 |
+------------+-----------------------+------------------------+--------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | Medium RHSA-2021:4358 | glibc                  | 2.28-151.el8       | The glibc packages provide the standard C       |
|            |                       |                        |                    | libraries (libc), POSIX thread libraries        |
|            |                       |                        |                    | (libpthread), standard math libraries           |
|            |                       |                        |                    | (libm), and the name service cache daemon       |
|            |                       |                        |                    | (nscd) used by multiple programs on the         |
|            |                       |                        |                    | system. Without these libraries, the Linux      |
|            |                       |                        |                    | system cannot function correctly. Security      |
|            |                       |                        |                    | Fix(es): * glibc: Arbitrary read in wordexp()   |
|            |                       |                        |                    | (CVE-2021-35942) * glibc: Use-after-free in     |
|            |                       |                        |                    | addgetnetgrentX function in netgroupcache.c     |
|            |                       |                        |                    | (CVE-2021-27645) * glibc: mq_notify does        |
|            |                       |                        |                    | not handle separately allocated thread          |
|            |                       |                        |                    | attributes (CVE-2021-33574) For more details    |
|            |                       |                        |                    | about the security issue(s), including          |
|            |                       |                        |                    | the impact, a CVSS score, acknowledgments,      |
|            |                       |                        |                    | and other related information, refer to         |
|            |                       |                        |                    | the CVE page(s) listed in the References        |
|            |                       |                        |                    | section. Additional Changes: For detailed       |
|            |                       |                        |                    | information on changes in this release, see     |
|            |                       |                        |                    | the Red Hat Enterprise Linux 8.5 Release        |
|            |                       |                        |                    | Notes linked from the References section.       |
|            |                       |                        |                    | https://access.redhat.com/errata/RHSA-2021:4358 |
+------------+-----------------------+------------------------+--------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | Medium RHSA-2022:0896 | glibc                  | 2.28-151.el8       | The glibc packages provide the standard C       |
|            |                       |                        |                    | libraries (libc), POSIX thread libraries        |
|            |                       |                        |                    | (libpthread), standard math libraries (libm),   |
|            |                       |                        |                    | and the name service cache daemon (nscd) used   |
|            |                       |                        |                    | by multiple programs on the system. Without     |
|            |                       |                        |                    | these libraries, the Linux system cannot        |
|            |                       |                        |                    | function correctly. Security Fix(es): *         |
|            |                       |                        |                    | glibc: Off-by-one buffer overflow/underflow in  |
|            |                       |                        |                    | getcwd() (CVE-2021-3999) * glibc: Stack-based   |
|            |                       |                        |                    | buffer overflow in svcunix_create via long      |
|            |                       |                        |                    | pathnames (CVE-2022-23218) * glibc: Stack-based |
|            |                       |                        |                    | buffer overflow in sunrpc clnt_create via a     |
|            |                       |                        |                    | long pathname (CVE-2022-23219) For more details |
|            |                       |                        |                    | about the security issue(s), including the      |
|            |                       |                        |                    | impact, a CVSS score, acknowledgments, and      |
|            |                       |                        |                    | other related information, refer to the CVE     |
|            |                       |                        |                    | page(s) listed in the References section.       |
|            |                       |                        |                    | https://access.redhat.com/errata/RHSA-2022:0896 |
+------------+-----------------------+------------------------+--------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | Medium RHSA-2021:4057 | python3-libs           | 3.6.8-37.el8       | Python is an interpreted, interactive,          |
|            |                       |                        |                    | object-oriented programming language, which     |
|            |                       |                        |                    | includes modules, classes, exceptions,          |
|            |                       |                        |                    | very high level dynamic data types and          |
|            |                       |                        |                    | dynamic typing. Python supports interfaces      |
|            |                       |                        |                    | to many system calls and libraries, as          |
|            |                       |                        |                    | well as to various windowing systems.           |
|            |                       |                        |                    | Security Fix(es): * python: urllib: Regular     |
|            |                       |                        |                    | expression DoS in AbstractBasicAuthHandler      |
|            |                       |                        |                    | (CVE-2021-3733) For more details about the      |
|            |                       |                        |                    | security issue(s), including the impact,        |
|            |                       |                        |                    | a CVSS score, acknowledgments, and other        |
|            |                       |                        |                    | related information, refer to the CVE           |
|            |                       |                        |                    | page(s) listed in the References section.       |
|            |                       |                        |                    | https://access.redhat.com/errata/RHSA-2021:4057 |
+------------+-----------------------+------------------------+--------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | Medium RHSA-2021:4424 | openssl-libs           | 1:1.1.1g-15.el8_3  | OpenSSL is a toolkit that implements the        |
|            |                       |                        |                    | Secure Sockets Layer (SSL) and Transport        |
|            |                       |                        |                    | Layer Security (TLS) protocols, as              |
